,AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,FTAG,FTHG,FTR,GBA,GBD,GBH,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,SBA,SBD,SBH,SJA,SJD,SJH,VCA,VCD,VCH,WHA,WHD,WHH,FTDif,HTDif,SHHG,SHAG,SHDif
0,5.0,11.0,0.0,15.0,8.0,2.0,Elgin,2.62,3.5,2.5,,,,2.6,3.4,2.3,36.0,13.0,0.0,2.03,1.71,2.65,2.0,1.77,3.44,2.37,2.15,1.76,2.79,2.06,1.82,3.7,2.5,31.0,2018-08-04,SC3,1,1,D,,,,4.0,15.0,0.0,12.0,3.0,0,0,D,0.0,Annan Athletic,2.65,3.4,2.3,,,,2.79,4.11,4.1,1.82,3.63,2.44,C Napier,,,,,,,2.75,3.5,2.5,2.75,3.4,2.5,0,0,1,1,0
1,4.0,11.0,0.0,9.0,2.0,0.0,Stirling,2.2,3.5,3.1,,,,2.1,3.4,2.95,36.0,14.0,0.25,2.11,1.66,2.14,1.89,1.88,3.5,2.97,2.25,1.72,2.21,1.94,1.93,3.86,3.1,32.0,2018-08-04,SC3,0,1,H,,,,2.0,9.0,0.0,12.0,8.0,0,0,D,0.0,Berwick,2.15,3.45,2.9,,,,2.21,1.97,3.74,3.83,3.86,3.01,C Graham,,,,,,,2.2,3.6,3.13,2.2,3.5,3.1,1,0,1,0,1
2,4.0,15.0,0.0,3.0,3.0,4.0,Cowdenbeath,5.0,4.0,1.61,,,,5.0,3.9,1.53,36.0,13.0,-1.0,2.16,1.63,4.82,1.74,2.03,3.91,1.59,2.3,1.67,5.33,1.8,2.13,4.2,1.67,32.0,2018-08-04,SC3,0,2,H,,,,12.0,7.0,0.0,11.0,4.0,0,2,H,0.0,Clyde,4.65,3.85,1.6,,,,5.33,4.63,3.81,1.79,4.06,1.64,D Smith,,,,,,,5.25,4.0,1.65,4.8,4.0,1.67,2,2,0,0,0
3,0.0,15.0,0.0,3.0,2.0,1.0,Albion Rvs,6.0,3.8,1.57,,,,4.5,3.7,1.62,37.0,14.0,-0.75,2.06,1.69,5.08,2.04,1.74,3.85,1.58,2.14,1.75,6.0,2.11,1.78,4.2,1.65,31.0,2018-08-04,SC3,0,4,H,,,,2.0,9.0,0.0,9.0,8.0,0,1,H,1.0,Edinburgh City,5.0,3.8,1.55,,,,5.78,6.13,4.24,1.57,3.9,1.63,D Williams,,,,,,,5.5,4.0,1.62,5.0,4.0,1.65,4,1,3,0,3
4,2.0,12.0,0.0,5.0,2.0,2.0,Queens Park,3.6,3.6,1.95,,,,3.5,3.5,1.85,35.0,12.0,-0.5,2.01,1.73,3.55,1.85,1.92,3.51,1.91,2.15,1.8,3.85,1.9,1.99,3.7,2.05,31.0,2018-08-04,SC3,1,1,D,,,,7.0,15.0,0.0,10.0,5.0,1,1,D,1.0,Peterhead,3.55,3.45,1.9,,,,3.85,4.03,3.81,1.9,3.69,1.95,K Graham,,,,,,,3.8,3.6,1.95,3.5,3.5,2.05,0,0,0,0,0
5,5.0,13.0,0.0,18.0,10.0,0.0,Peterhead,1.5,4.33,6.0,,,,1.5,4.1,5.0,35.0,16.0,1.0,2.33,1.55,1.5,1.81,1.96,4.26,5.29,2.4,1.58,1.55,1.87,2.03,4.73,6.0,29.0,2018-08-11,SC3,4,0,A,,,,0.0,15.0,0.0,6.0,1.0,1,0,A,0.0,Albion Rvs,1.45,4.3,5.25,,,,1.51,1.41,5.3,7.2,4.73,5.91,G Irvine,,,,,,,1.5,4.5,6.0,1.53,4.0,5.0,-4,-1,0,3,-3
6,4.0,11.0,0.0,5.0,3.0,2.0,Annan Athletic,2.5,3.5,2.62,,,,2.4,3.6,2.4,34.0,16.0,0.0,1.89,1.85,2.45,1.86,1.92,3.37,2.59,1.95,1.93,2.6,1.92,2.05,3.6,2.8,30.0,2018-08-11,SC3,2,1,A,,,,8.0,14.0,0.0,8.0,4.0,1,1,D,2.0,Cowdenbeath,2.4,3.25,2.65,,,,2.49,2.91,3.62,2.4,3.51,2.8,S Millar,,,,,,,2.6,3.4,2.7,2.45,3.6,2.45,-1,0,0,1,-1
7,5.0,16.0,0.0,14.0,4.0,4.0,Edinburgh City,2.9,3.5,2.3,,,,2.65,3.6,2.2,32.0,16.0,0.0,2.02,1.73,2.75,2.06,1.73,3.45,2.3,2.1,1.81,2.94,2.16,1.81,3.75,2.48,27.0,2018-08-11,SC3,0,1,H,,,,1.0,16.0,0.0,8.0,3.0,0,0,D,2.0,Elgin,2.75,3.4,2.3,,,,2.94,3.15,3.62,2.26,3.57,2.36,B Cook,,,,,,,2.8,3.6,2.4,2.5,3.6,2.4,1,0,1,0,1
8,8.0,6.0,0.0,14.0,5.0,0.0,Berwick,4.33,3.8,1.75,,,,3.5,3.7,1.8,34.0,13.0,-0.75,2.02,1.73,4.07,1.81,1.96,3.71,1.74,2.1,1.8,4.5,1.87,2.02,4.04,1.83,28.0,2018-08-11,SC3,0,1,H,,,,5.0,7.0,0.0,14.0,4.0,0,1,H,3.0,Queens Park,4.15,3.7,1.7,,,,4.34,4.93,4.42,1.65,3.97,1.78,L Wilson,,,,,,,4.5,3.8,1.75,3.5,3.8,1.83,1,1,0,0,0
9,4.0,8.0,0.0,4.0,1.0,2.0,Clyde,2.3,3.6,2.8,,,,2.2,3.7,2.6,35.0,16.0,0.0,2.1,1.67,2.24,1.73,2.08,3.55,2.74,2.2,1.72,2.4,1.81,2.22,4.04,2.89,29.0,2018-08-11,SC3,3,0,A,,,,3.0,8.0,0.0,3.0,2.0,2,0,A,3.0,Stirling,2.2,3.45,2.8,,,,2.25,2.1,4.07,3.16,3.94,2.89,D Lowe,,,,,,,2.4,3.6,2.8,2.3,3.75,2.5,-3,-2,0,1,-1
10,9.0,6.0,0.0,17.0,9.0,1.0,Elgin,1.61,4.0,5.0,,,,1.65,3.8,4.1,38.0,16.0,0.75,2.13,1.65,1.6,1.77,2.01,3.96,4.7,2.2,1.72,1.65,1.82,2.08,4.34,5.4,33.0,2018-08-18,SC3,1,0,A,,,,6.0,11.0,0.0,8.0,3.0,0,0,D,2.0,Albion Rvs,1.6,3.9,4.65,,,,1.62,1.65,4.23,5.16,4.34,5.05,S Brown,,,,,,,1.53,4.2,5.4,1.65,4.0,5.0,-1,0,0,1,-1
11,2.0,9.0,0.0,7.0,2.0,2.0,Queens Park,2.7,3.25,2.6,,,,2.45,3.4,2.45,38.0,16.0,0.0,1.96,1.78,2.59,1.95,1.82,3.32,2.47,2.05,1.91,2.75,2.02,1.89,3.5,2.6,36.0,2018-08-18,SC3,1,3,H,,,,4.0,15.0,0.0,4.0,3.0,0,0,D,3.0,Annan Athletic,2.55,3.3,2.45,,,,2.69,2.65,3.64,2.6,3.5,2.58,S Reid,,,,,,,2.75,3.5,2.5,2.7,3.3,2.6,2,0,3,1,2
12,2.0,10.0,1.0,8.0,2.0,1.0,Berwick,3.4,3.4,2.1,,,,3.0,3.3,2.1,38.0,15.0,-0.25,1.79,1.94,3.34,2.02,1.76,3.36,2.03,1.88,2.02,3.6,2.1,1.82,3.62,2.1,35.0,2018-08-18,SC3,0,4,H,,,,4.0,13.0,1.0,11.0,5.0,0,2,H,3.0,Cowdenbeath,3.4,3.35,2.0,,,,3.55,3.56,3.72,2.05,3.62,2.07,L Wilson,,,,,,,3.6,3.4,2.1,3.6,3.4,2.05,4,2,2,0,2
